"ID";"version";"CRA_zr";"CRA_z0";"CRA_d0";"CRA_ust";"CRA_lm";"CRB_ust";"CRB_tmp";"CRB_rhoa";"CRB_diff";"CRB_cfac";"CRB_eta";"CRB_nsch";"CRB_nst";"CRC_cmp";"CRC_day";"CRC_lat";"CRC_tmp";"CRC_ust";"CRC_glr";"CRC_sin";"CRC_rhp";"CRC_wet";"CRC_luc";"CRC_rns";"CRC_nh3";"CRC_so2";"CRC_con";"CRC_ra";"CRC_rb";"CRC_lai";"CRC_sai";"CRC_gw";"CRC_gstom";"CRC_rsoil";"CRC_gsoileff";"CRC_rctot";"CRC_cmptot";"CRC_rceff";"VDP_vdp";"VDP_r";"VDP_ra";"VDP_rb";"VDP_rc";"VDP_vs"
1;"JDepac 0.2.1";"1.00";"0.500";"3.000";"0.300";"133.0";"0.300";"15.0";"1.23";"2.3406e-05";"1.0000";"1.79e-05";"6.248e-01";"UNDEF";"NH3";"152";"50.00";"15.00";"0.300";"100.0";"0.342";"70.0";"0";"2";"1";"UNDEF";"UNDEF";"UNDEF";"1.310";"12.181";"2.64";"4.14";"4.855e-02";"5.747e-03";"1.000e+02";"3.411e-03";"1.7330e+01";"UNDEF";"1.7330e+01";"3.2446e-02";"3.082e+01";"1.310e+00";"1.218e+01";"1.733e+01";"0.000e+00"
2;"JDepac 0.2.1";"1.50";"0.500";"3.000";"0.300";"133.0";"0.300";"20.0";"1.20";"2.4026e-12";"1.0160";"1.82e-05";"6.277e+06";"1.880";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1.6067e-02";"6.224e+01";"2.619e+00";"6.650e+01";"0.000e+00";"3.089e-03"
3;"JDepac 0.2.1";"1.00";"0.600";"0.200";"0.720";"146.8";"0.720";"20.0";"1.20";"2.4200e-05";"1.0000";"1.82e-05";"6.232e-01";"UNDEF";"NH3";"152";"50.00";"20.00";"0.720";"100.0";"0.342";"70.0";"0";"2";"1";"0.200";"0.300";"0.100";"0.692";"5.067";"2.64";"4.14";"4.855e-02";"1.226e-02";"1.000e+02";"5.540e-03";"1.5072e+01";"5.5810e-02";"4.1382e+01";"2.1213e-02";"4.714e+01";"6.923e-01";"5.067e+00";"4.138e+01";"0.000e+00"
